,gene_id,logtpm,transcript_id,protein_id,internal_id,external_id,abundance
140,ENST00000264689,5.374638940999986,ENST00000264689,ENSP00000264689,4435477,9606.ENSP00000264689,7.52
141,ENST00000222219,5.386698993203714,ENST00000222219,ENSP00000222219,4433209,9606.ENSP00000222219,9.7
142,ENST00000354488,5.608266624220653,ENST00000354488,ENSP00000346483,4441627,9606.ENSP00000346483,49.1
143,ENST00000037869,5.364990267283316,ENST00000037869,ENSP00000037869,4432618,9606.ENSP00000037869,73.4
144,ENST00000283629,5.982155964032846,ENST00000283629,ENSP00000283629,4436549,9606.ENSP00000283629,4.48
145,ENST00000368990,5.29786604013425,ENST00000368990,ENSP00000357986,4443238,9606.ENSP00000357986,3.68
146,ENST00000366628,5.744938611467964,ENST00000366628,ENSP00000355587,4442707,9606.ENSP00000355587,46.8
147,ENST00000426333,5.906156001058527,ENST00000426333,ENSP00000392094,4447727,9606.ENSP00000392094,110.0
148,ENST00000263694,5.163024734100985,ENST00000263694,ENSP00000263694,4435298,9606.ENSP00000263694,66.6
149,ENST00000344922,5.789991581812147,ENST00000344922,ENSP00000340900,4441090,9606.ENSP00000340900,8.77
150,ENST00000255759,5.271098892193264,ENST00000255759,ENSP00000255759,4434446,9606.ENSP00000255759,0.514
151,ENST00000289968,5.755309599746748,ENST00000289968,ENSP00000289968,4436832,9606.ENSP00000289968,84.0
152,ENST00000216259,5.663253698871685,ENST00000216259,ENSP00000216259,4432937,9606.ENSP00000216259,1.14
153,ENST00000285071,5.384704329124078,ENST00000285071,ENSP00000285071,4436617,9606.ENSP00000285071,1.05
154,ENST00000545606,5.915872987039115,ENST00000545606,ENSP00000442318,4450029,9606.ENSP00000442318,116.0
155,ENST00000374837,5.320663819442098,ENST00000374837,ENSP00000363970,4444457,9606.ENSP00000363970,2.84
156,ENST00000369755,5.111294578705235,ENST00000369755,ENSP00000358770,4443382,9606.ENSP00000358770,18.1
157,ENST00000265990,5.413958736920267,ENST00000265990,ENSP00000265990,4435673,9606.ENSP00000265990,4.1
158,ENST00000389120,5.062333144276854,ENST00000389120,ENSP00000373772,4445830,9606.ENSP00000373772,17.2
159,ENST00000507955,5.869931757947951,ENST00000507955,ENSP00000422753,4449227,9606.ENSP00000422753,12.1
160,ENST00000368685,5.550661501642519,ENST00000368685,ENSP00000357674,4443150,9606.ENSP00000357674,21.3
161,ENST00000379540,5.132875841053342,ENST00000379540,ENSP00000368856,4445230,9606.ENSP00000368856,2.24
162,ENST00000262570,5.799515025111678,ENST00000262570,ENSP00000262570,4435106,9606.ENSP00000262570,143.0
163,ENST00000361804,5.083090756495015,ENST00000361804,ENSP00000354720,4442527,9606.ENSP00000354720,49.4
164,ENST00000471841,5.071262484223577,ENST00000471841,ENSP00000420617,4449133,9606.ENSP00000420617,6.89
165,ENST00000378372,5.112146637783829,ENST00000378372,ENSP00000367623,4445042,9606.ENSP00000367623,13.8
166,ENST00000355264,5.287234622293641,ENST00000355264,ENSP00000347408,4441713,9606.ENSP00000347408,20.7
167,ENST00000303204,5.248843441885185,ENST00000303204,ENSP00000302114,4437826,9606.ENSP00000302114,1.28
168,ENST00000412770,5.59408166137411,ENST00000412770,ENSP00000414202,4448721,9606.ENSP00000414202,15.5
169,ENST00000545712,5.160347070872679,ENST00000545712,ENSP00000445920,4450178,9606.ENSP00000445920,22.1
170,ENST00000262039,5.487577339076541,ENST00000262039,ENSP00000262039,4434996,9606.ENSP00000262039,6.09
171,ENST00000361367,5.07360048014176,ENST00000361367,ENSP00000355013,4442590,9606.ENSP00000355013,9.05
172,ENST00000545797,5.640262469126211,ENST00000545797,ENSP00000442973,4450062,9606.ENSP00000442973,2.44
173,ENST00000519449,5.768566997620771,ENST00000519449,ENSP00000428968,4449478,9606.ENSP00000428968,0.574
174,ENST00000229395,5.816698298002505,ENST00000229395,ENSP00000229395,4433469,9606.ENSP00000229395,6.15
175,ENST00000440863,5.726647150402496,ENST00000440863,ENSP00000400312,4448115,9606.ENSP00000400312,2.16
176,ENST00000402673,5.830120914979871,ENST00000402673,ENSP00000385432,4447228,9606.ENSP00000385432,83.4
177,ENST00000316059,5.656979386145325,ENST00000316059,ENSP00000339030,4440918,9606.ENSP00000339030,10.2
178,ENST00000542267,5.418514714657648,ENST00000542267,ENSP00000437464,4449818,9606.ENSP00000437464,0.56
179,ENST00000347140,5.780264083580382,ENST00000347140,ENSP00000317903,4439160,9606.ENSP00000317903,4.73
180,ENST00000315732,5.546381400226242,ENST00000315732,ENSP00000319341,4439277,9606.ENSP00000319341,0.062
181,ENST00000618852,5.732719922579633,ENST00000618852,ENSP00000483313,4451760,9606.ENSP00000483313,22.7
182,ENST00000229214,5.264713792453572,ENST00000229214,ENSP00000229214,4433449,9606.ENSP00000229214,18.9
183,ENST00000435041,5.833084846798519,ENST00000435041,ENSP00000451261,4450351,9606.ENSP00000451261,9.82
184,ENST00000343053,5.028816693038222,ENST00000343053,ENSP00000339495,4440962,9606.ENSP00000339495,14.3
185,ENST00000233055,5.15752587616857,ENST00000233055,ENSP00000233055,4433574,9606.ENSP00000233055,8.49
186,ENST00000430580,5.627149466012522,ENST00000430580,ENSP00000474456,4451103,9606.ENSP00000474456,0.101
187,ENST00000331334,5.920564179600513,ENST00000331334,ENSP00000328570,4440036,9606.ENSP00000328570,44.8
188,ENST00000329970,5.649191201267056,ENST00000329970,ENSP00000357863,4443209,9606.ENSP00000357863,1.27
189,ENST00000520539,5.56712053287917,ENST00000520539,ENSP00000429084,4449486,9606.ENSP00000429084,6.86
190,ENST00000373913,5.609432493041473,ENST00000373913,ENSP00000363023,4444287,9606.ENSP00000363023,13.3
191,ENST00000369534,5.639974574503992,ENST00000369534,ENSP00000358547,4443344,9606.ENSP00000358547,56.6
192,ENST00000421367,5.288435989535529,ENST00000421367,ENSP00000410964,4448584,9606.ENSP00000410964,31.2
193,ENST00000199706,5.824006671831275,ENST00000199706,ENSP00000199706,4432772,9606.ENSP00000199706,30.2
194,ENST00000264645,6.072459590904211,ENST00000264645,ENSP00000264645,4435465,9606.ENSP00000264645,6.15
195,ENST00000395131,6.641148511889394,ENST00000395131,ENSP00000378563,4446375,9606.ENSP00000378563,296.0
196,ENST00000263202,6.113265020134314,ENST00000263202,ENSP00000263202,4435212,9606.ENSP00000263202,81.8
197,ENST00000394817,6.92384263892891,ENST00000394817,ENSP00000378294,4446325,9606.ENSP00000378294,3.25
198,ENST00000262948,6.253741170345706,ENST00000262948,ENSP00000262948,4435169,9606.ENSP00000262948,49.7
199,ENST00000314888,6.927407654187736,ENST00000314888,ENSP00000316029,4439035,9606.ENSP00000316029,716.0
200,ENST00000318158,6.925531688098247,ENST00000318158,ENSP00000313432,4438861,9606.ENSP00000313432,137.0
201,ENST00000372685,6.3250380256438605,ENST00000372685,ENSP00000361770,4443999,9606.ENSP00000361770,2.27
202,ENST00000368399,6.185072518704595,ENST00000368399,ENSP00000357384,4443094,9606.ENSP00000357384,34.3
203,ENST00000302422,6.555063376131088,ENST00000302422,ENSP00000301939,4437812,9606.ENSP00000301939,50.0
204,ENST00000264161,6.295670447177277,ENST00000264161,ENSP00000264161,4435386,9606.ENSP00000264161,227.0
205,ENST00000306384,6.186502926605927,ENST00000306384,ENSP00000305647,4438145,9606.ENSP00000305647,6.82
206,ENST00000341285,6.803380657688511,ENST00000341285,ENSP00000344866,4441468,9606.ENSP00000344866,0.055
207,ENST00000403633,6.514079015398746,ENST00000403633,ENSP00000386023,4447297,9606.ENSP00000386023,61.4
208,ENST00000216416,6.54977316226723,ENST00000216416,ENSP00000216416,4432956,9606.ENSP00000216416,2.71
209,ENST00000291386,6.953055043982612,ENST00000291386,ENSP00000291386,4436904,9606.ENSP00000291386,32.4
210,ENST00000278823,6.213098440134074,ENST00000278823,ENSP00000278823,4436307,9606.ENSP00000278823,38.1
211,ENST00000251047,6.103687566238312,ENST00000251047,ENSP00000251047,4434149,9606.ENSP00000251047,143.0
212,ENST00000379649,6.494128562248599,ENST00000379649,ENSP00000368970,4445248,9606.ENSP00000368970,55.1
213,ENST00000228506,6.547188553518042,ENST00000228506,ENSP00000228506,4433416,9606.ENSP00000228506,73.6
214,ENST00000158771,6.136842387134873,ENST00000158771,ENSP00000158771,4432675,9606.ENSP00000158771,13.9
215,ENST00000313368,6.828574561941735,ENST00000313368,ENSP00000312709,4438816,9606.ENSP00000312709,2.32
216,ENST00000354232,6.776961625882693,ENST00000354232,ENSP00000346173,4441599,9606.ENSP00000346173,166.0
217,ENST00000266014,6.255428102378349,ENST00000266014,ENSP00000266014,4435674,9606.ENSP00000266014,2.23
218,ENST00000395443,6.12169732153556,ENST00000395443,ENSP00000378830,4446407,9606.ENSP00000378830,9.31
219,ENST00000216602,6.029603125968044,ENST00000216602,ENSP00000216602,4432974,9606.ENSP00000216602,1.66
220,ENST00000371856,6.3719469730531,ENST00000371856,ENSP00000360922,4443827,9606.ENSP00000360922,41.2
221,ENST00000261636,6.459368887839913,ENST00000261636,ENSP00000261636,4434916,9606.ENSP00000261636,53.5
222,ENST00000217426,6.593471701889281,ENST00000217426,ENSP00000217426,4433021,9606.ENSP00000217426,315.0
223,ENST00000375446,6.248589680180446,ENST00000375446,ENSP00000364595,4444563,9606.ENSP00000364595,1.01
224,ENST00000264639,6.430541962516616,ENST00000264639,ENSP00000264639,4435463,9606.ENSP00000264639,119.0
225,ENST00000456936,6.091432228589858,ENST00000456936,ENSP00000405926,4448382,9606.ENSP00000405926,25.7
226,ENST00000357008,6.510016017549514,ENST00000357008,ENSP00000349508,4441937,9606.ENSP00000349508,51.8
227,ENST00000377921,6.804801064587736,ENST00000377921,ENSP00000367154,4444968,9606.ENSP00000367154,269.0
228,ENST00000375499,7.040905943575307,ENST00000375499,ENSP00000364649,4444576,9606.ENSP00000364649,59.4
229,ENST00000361575,7.764406886725124,ENST00000361575,ENSP00000355315,4442650,9606.ENSP00000355315,806.0
230,ENST00000596731,7.675551039132062,ENST00000596731,ENSP00000468969,4450894,9606.ENSP00000468969,0.567
231,ENST00000530028,7.512165802521085,ENST00000530028,ENSP00000431162,4449576,9606.ENSP00000431162,0.314
232,ENST00000398073,7.135717041005684,ENST00000398073,ENSP00000381148,4446772,9606.ENSP00000381148,0.158
233,ENST00000303436,7.63789715556391,ENST00000303436,ENSP00000306010,4438185,9606.ENSP00000306010,166.0
234,ENST00000370873,7.606895513769033,ENST00000370873,ENSP00000359910,4443629,9606.ENSP00000359910,238.0
235,ENST00000371873,7.047547559443576,ENST00000371873,ENSP00000360939,4443829,9606.ENSP00000360939,104.0
236,ENST00000303127,7.054270241297932,ENST00000303127,ENSP00000303366,4437954,9606.ENSP00000303366,129.0
237,ENST00000222005,7.358110253393756,ENST00000222005,ENSP00000222005,4433199,9606.ENSP00000222005,190.0
238,ENST00000299166,7.864954152923442,ENST00000299166,ENSP00000299166,4437544,9606.ENSP00000299166,28.9
239,ENST00000267970,8.056440875485348,ENST00000267970,ENSP00000267970,4435794,9606.ENSP00000267970,1.93
240,ENST00000371514,8.044883223270983,ENST00000371514,ENSP00000360569,4443763,9606.ENSP00000360569,78.6
241,ENST00000369825,8.013075870124647,ENST00000369825,ENSP00000358840,4443402,9606.ENSP00000358840,83.1
242,ENST00000398752,8.923003408204458,ENST00000398752,ENSP00000381736,4446852,9606.ENSP00000381736,1216.0
243,ENST00000392509,8.550061697293415,ENST00000392509,ENSP00000376297,4446030,9606.ENSP00000376297,367.0
244,ENST00000307961,9.86720524028749,ENST00000307961,ENSP00000311430,4438689,9606.ENSP00000311430,961.0
245,ENST00000394936,9.702797630370204,ENST00000394936,ENSP00000378394,4446348,9606.ENSP00000378394,413.0
246,ENST00000512805,10.791430038910386,ENST00000512805,ENSP00000426909,4449378,9606.ENSP00000426909,1209.0
