gene_id,gene_name,tpm
AT1G04555,AT1G04555,12
AT1G04560,AT1G04560,3420
AT1G04563,AT1G04563,0.3
AT1G04567,AT1G04567,
AT1G04570,AT1G04570,3
AT1G04577,AT1G04577,0.8
AT1G04580,AAO4,99
AT1G04587,AT1G04587,1
AT1G04590,AT1G04590,20
AT1G04597,AT1G04597,0.2
AT1G04600,XI-A,0.3
AT1G04603,AT1G04603,
AT1G04610,YUC3,
AT1G04620,HCAR,25
AT1G04625,AT1G04625,0.1
AT1G04630,MEE4,31
AT1G04635,EMB1687,4
AT1G04640,LIP2,10
AT1G04645,SPH5,3
AT1G04650,AT1G04650,1
AT1G04660,AT1G04660,498
AT1G04667,AT1G04667,
AT1G04670,AT1G04670,
AT1G04677,AT1G04677,0.2
AT1G04680,AT1G04680,5
AT1G04683,AT1G04683,0.3
AT1G04690,KAB1,93
AT1G04697,AT1G04697,0.3
AT1G04700,AT1G04700,1
AT1G04710,KAT1,20
AT1G04723,AT1G04723,0.6
AT1G04730,CTF18,0.2
AT1G04750,VAMP721,52
AT1G04760,VAMP726,0.7
AT1G04770,AT1G04770,33
AT1G04778,AT1G04778,4
AT1G04780,AT1G04780,38
AT1G04783,AT1G04783,
AT1G04790,AT1G04790,13
AT1G04797,AT1G04797,0.3
AT1G04800,AT1G04800,0.3
AT1G04807,AT1G04807,
AT1G04810,RPN2B,14
AT1G04817,AT1G04817,
AT1G04820,TUBA4,95
AT1G04827,AT1G04827,0.3
AT1G04830,AT1G04830,31
AT1G04840,PCMP-H64,0.7
AT1G04850,AT1G04850,66
AT1G04853,AT1G04853,0.3
AT1G04860,UBP2,12
AT1G04870,PRMT10,10
AT1G04877,AT1G04877,0.8
AT1G04880,HMGB15,0.1
AT1G04883,AT1G04883,0.4
AT1G04890,AT1G04890,
AT1G04893,AT1G04893,1
AT1G04900,AT1G04900,4
AT1G04907,AT1G04907,0.7
AT1G04910,OFUT1,14
AT1G04913,AT1G04913,0.4
AT1G04920,SPS3,11
AT1G04927,AT1G04927,0.6
AT1G04930,AT1G04930,5
AT1G04940,TIC20-I,1
AT1G04945,AT1G04945,3
AT1G04950,TAF6,15
AT1G04960,AT1G04960,21
AT1G04967,AT1G04967,
AT1G04970,AT1G04970,28
AT1G04973,AT1G04973,21
AT1G04980,PDIL2-2,21
AT1G04983,AT1G04983,0.2
AT1G04985,AT1G04985,22
AT1G04990,AT1G04990,25
AT1G04997,AT1G04997,0.1
AT1G05000,AT1G05000,26
AT1G05005,AT1G05005,
AT1G05010,ACO4,63
AT1G05017,AT1G05017,
AT1G05020,AP180,
AT1G05023,AT1G05023,3
AT1G05027,AT1G05027,
AT1G05030,AT1G05030,5
AT1G05033,AT1G05033,0.2
AT1G05035,AT1G05035,
AT1G05037,AT1G05037,
AT1G05043,AT1G05043,2
AT1G05053,AT1G05053,
AT1G05055,GTF2H2,7
AT1G05057,AT1G05057,1
AT1G05060,AT1G05060,31
AT1G05065,CLE20,1
AT1G05070,AT1G05070,17
AT1G05077,AT1G05077,0.1
AT1G05080,AT1G05080,0.2
AT1G05083,AT1G05083,0.6
AT1G05085,AT1G05085,
AT1G05087,AT1G05087,0.3
AT1G05090,AT1G05090,0.1
AT1G05100,MAPKKK18,5
AT1G05120,AT1G05120,15
AT1G05123,AT1G05123,
AT1G05133,AT1G05133,0.1
AT1G05136,AT1G05136,
AT1G05140,ARASP2,19
AT1G05143,AT1G05143,3
AT1G05150,AT1G05150,38
AT1G05160,KAO1,16
AT1G05163,AT1G05163,0.1
AT1G05170,B3GALT2,5
AT1G05173,AT1G05173,
AT1G05180,AXR1,11
AT1G05190,RPL6,60
AT1G05200,GLR3.4,1
AT1G05203,AT1G05203,
AT1G05205,AT1G05205,17
AT1G05207,AT1G05207,2
AT1G05210,AT1G05210,0.8
AT1G05213,AT1G05213,0.8
AT1G05217,AT1G05217,0.9
AT1G05220,AT1G05220,0.4
AT1G05230,HDG2,4
AT1G05240,PER2,
AT1G05260,PER3,15
AT1G05263,AT1G05263,
AT1G05270,AT1G05270,30
AT1G05277,AT1G05277,2
AT1G05280,AT1G05280,13
AT1G05290,AT1G05290,0.1
AT1G05291,AT1G05291,
AT1G05293,AT1G05293,0.4
AT1G05297,AT1G05297,0.7
AT1G05300,ZIP5,2
AT1G05310,PME8,0.3
AT1G05313,AT1G05313,0.9
AT1G05317,AT1G05317,0.1
AT1G05320,AT1G05320,16
AT1G05330,AT1G05330,0.5
AT1G05340,AT1G05340,273
AT1G05343,AT1G05343,
AT1G05350,AT1G05350,25
AT1G05360,KMS2,4
AT1G05363,AT1G05363,1
AT1G05367,AT1G05367,
AT1G05370,AT1G05370,0.5
AT1G05373,AT1G05373,
AT1G05380,AT1G05380,14
AT1G05383,AT1G05383,3
AT1G05385,PSB27-2,8
AT1G05397,AT1G05397,0.6
AT1G05400,AT1G05400,2
AT1G05410,AT1G05410,22
AT1G05420,ATOFP12,3
AT1G05430,AT1G05430,19
AT1G05440,AT1G05440,0.3
AT1G05443,AT1G05443,
AT1G05450,AT1G05450,54
AT1G05460,SDE3,7
AT1G05463,AT1G05463,
AT1G05467,AT1G05467,5
AT1G05470,IP5P6,0.5
AT1G05473,AT1G05473,
AT1G05487,AT1G05487,
AT1G05490,CLSY3,5
AT1G05493,AT1G05493,
AT1G05500,SYT5,23
AT1G05507,AT1G05507,
AT1G05510,OBAP1A,2241
AT1G05517,AT1G05517,0.1
AT1G05520,AT1G05520,14
AT1G05527,AT1G05527,0.1
AT1G05530,UGT75B2,
AT1G05540,AT1G05540,0.6
AT1G05543,AT1G05543,0.3
AT1G05547,AT1G05547,
AT1G05550,AT1G05550,3
AT1G05553,AT1G05553,0.1
AT1G05557,AT1G05557,0.2
AT1G05570,CALS1,3
AT1G05575,AT1G05575,7
AT1G05577,AT1G05577,0.1
AT1G05580,CHX23,
AT1G05590,HEXO2,2
AT1G05600,AT1G05600,4
AT1G05610,APS2,0.5
AT1G05615,AT1G05615,
AT1G05620,URH2,23
AT1G05623,AT1G05623,
AT1G05630,AT5PTASE13,1
AT1G05640,AT1G05640,1
AT1G05660,AT1G05660,
AT1G05663,AT1G05663,
AT1G05670,AT1G05670,2
AT1G05675,UGT74E1,2
